Polygon ID,Type,Bucket,Visitor Count,Visit Count,Visitor Percentage,Visit Percentage
"Blue Nile Blue Nile Jewelry - Domain Northside, Austin, TX|11050622",CEL Distance,Total CEL,392,1147.0,100.0,100.0
"Blue Nile Blue Nile Jewelry - Domain Northside, Austin, TX|11050622",CEL Distance,Median distance traveled from CEL,10,,2.55,
"Blue Nile Blue Nile Jewelry - Domain Northside, Austin, TX|11050622",CEL Distance,Lives within 1 mi,23,379.0,5.87,33.04
"Blue Nile Blue Nile Jewelry - Domain Northside, Austin, TX|11050622",CEL Distance,Lives between 1 and 2 mi,14,29.0,3.57,2.53
"Blue Nile Blue Nile Jewelry - Domain Northside, Austin, TX|11050622",CEL Distance,Lives between 2 and 3 mi,15,16.0,3.83,1.39
"Blue Nile Blue Nile Jewelry - Domain Northside, Austin, TX|11050622",CEL Distance,Lives between 3 and 5 mi,40,103.0,10.2,8.98
"Blue Nile Blue Nile Jewelry - Domain Northside, Austin, TX|11050622",CEL Distance,Lives between 5 and 10 mi,91,126.0,23.21,10.99
"Blue Nile Blue Nile Jewelry - Domain Northside, Austin, TX|11050622",CEL Distance,Lives between 10 and 25 mi,96,336.0,24.49,29.29
"Blue Nile Blue Nile Jewelry - Domain Northside, Austin, TX|11050622",CEL Distance,Lives between 25 and 50 mi,21,36.0,5.36,3.14
"Blue Nile Blue Nile Jewelry - Domain Northside, Austin, TX|11050622",CEL Distance,Lives between 50 and 100 mi,31,36.0,7.91,3.14
"Blue Nile Blue Nile Jewelry - Domain Northside, Austin, TX|11050622",CEL Distance,Lives >100 mi,61,86.0,15.56,7.5
"Blue Nile Blue Nile Jewelry - Domain Northside, Austin, TX|11050622",CDL Distance,Total CDL,405,1156.0,100.0,100.0
"Blue Nile Blue Nile Jewelry - Domain Northside, Austin, TX|11050622",CDL Distance,Median distance traveled from CDL,9,,2.22,
"Blue Nile Blue Nile Jewelry - Domain Northside, Austin, TX|11050622",CDL Distance,Works within 1 mi,35,530.0,8.64,45.85
