Polygon ID,Bucket,Type,Visitor Count,Visitor Percentage,Visit Count,Visit Percentage
"Blue Nile Blue Nile Jewelry - Domain Northside, Austin, TX|11050622",Total CEL,CEL Distance,392,"",1147,100.00%
"Blue Nile Blue Nile Jewelry - Domain Northside, Austin, TX|11050622",Median distance traveled from CEL,CEL Distance,10.7273,"",,
"Blue Nile Blue Nile Jewelry - Domain Northside, Austin, TX|11050622",Lives within 1 mi,CEL Distance,23,5.87%,379,33.04%
"Blue Nile Blue Nile Jewelry - Domain Northside, Austin, TX|11050622",Lives between 1 and 2 mi,CEL Distance,14,3.57%,29,2.53%
"Blue Nile Blue Nile Jewelry - Domain Northside, Austin, TX|11050622",Lives between 2 and 3 mi,CEL Distance,15,3.83%,16,1.39%
"Blue Nile Blue Nile Jewelry - Domain Northside, Austin, TX|11050622",Lives between 3 and 5 mi,CEL Distance,40,10.20%,103,8.98%
"Blue Nile Blue Nile Jewelry - Domain Northside, Austin, TX|11050622",Lives between 5 and 10 mi,CEL Distance,91,23.21%,126,10.99%
"Blue Nile Blue Nile Jewelry - Domain Northside, Austin, TX|11050622",Lives between 10 and 25 mi,CEL Distance,96,24.49%,336,29.29%
"Blue Nile Blue Nile Jewelry - Domain Northside, Austin, TX|11050622",Lives between 25 and 50 mi,CEL Distance,21,5.36%,36,3.14%
"Blue Nile Blue Nile Jewelry - Domain Northside, Austin, TX|11050622",Lives between 50 and 100 mi,CEL Distance,31,7.91%,36,3.14%
"Blue Nile Blue Nile Jewelry - Domain Northside, Austin, TX|11050622",Lives >100 mi,CEL Distance,61,15.56%,86,7.50%
"Blue Nile Blue Nile Jewelry - Domain Northside, Austin, TX|11050622",Total CDL,CDL Distance,405,"",1156,100.00%
"Blue Nile Blue Nile Jewelry - Domain Northside, Austin, TX|11050622",Median distance traveled from CDL,CDL Distance,9.7019,"",,
"Blue Nile Blue Nile Jewelry - Domain Northside, Austin, TX|11050622",Works within 1 mi,CDL Distance,35,8.64%,530,45.85%
"Blue Nile Blue Nile Jewelry - Domain Northside, Austin, TX|11050622",Works between 1 and 2 mi,CDL Distance,14,3.46%,29,2.51%
"Blue Nile Blue Nile Jewelry - Domain Northside, Austin, TX|11050622",Works between 2 and 3 mi,CDL Distance,17,4.20%,18,1.56%
"Blue Nile Blue Nile Jewelry - Domain Northside, Austin, TX|11050622",Works between 3 and 5 mi,CDL Distance,42,10.37%,87,7.53%
"Blue Nile Blue Nile Jewelry - Domain Northside, Austin, TX|11050622",Works between 5 and 10 mi,CDL Distance,100,24.69%,135,11.68%
"Blue Nile Blue Nile Jewelry - Domain Northside, Austin, TX|11050622",Works between 10 and 25 mi,CDL Distance,84,20.74%,185,16.00%
"Blue Nile Blue Nile Jewelry - Domain Northside, Austin, TX|11050622",Works between 25 and 50 mi,CDL Distance,19,4.69%,32,2.77%
"Blue Nile Blue Nile Jewelry - Domain Northside, Austin, TX|11050622",Works between 50 and 100 mi,CDL Distance,30,7.41%,35,3.03%
"Blue Nile Blue Nile Jewelry - Domain Northside, Austin, TX|11050622",Works >100 mi,CDL Distance,64,15.80%,105,9.08%
"Blue Nile Blue Nile Jewelry - Domain Northside, Austin, TX|11050622",USA,Top CEL Country,389,99.23%,1144,99.74%
"Blue Nile Blue Nile Jewelry - Domain Northside, Austin, TX|11050622",MEX,Top CEL Country,2,0.51%,2,0.17%
"Blue Nile Blue Nile Jewelry - Domain Northside, Austin, TX|11050622",BRA,Top CEL Country,1,0.26%,1,0.09%
"Blue Nile Blue Nile Jewelry - Domain Northside, Austin, TX|11050622",USA,Top CDL Country,403,99.51%,1154,99.83%
"Blue Nile Blue Nile Jewelry - Domain Northside, Austin, TX|11050622",MEX,Top CDL Country,2,0.49%,2,0.17%
"Blue Nile Blue Nile Jewelry - Domain Northside, Austin, TX|11050622",484530454002,Top CEL Census,18,4.59%,374,32.61%
"Blue Nile Blue Nile Jewelry - Domain Northside, Austin, TX|11050622",484530454003,Top CEL Census,5,1.28%,5,0.44%
"Blue Nile Blue Nile Jewelry - Domain Northside, Austin, TX|11050622",484910203292,Top CEL Census,5,1.28%,10,0.87%
"Blue Nile Blue Nile Jewelry - Domain Northside, Austin, TX|11050622",484530344002,Top CEL Census,4,1.02%,5,0.44%
"Blue Nile Blue Nile Jewelry - Domain Northside, Austin, TX|11050622",484910201243,Top CEL Census,4,1.02%,4,0.35%
"Blue Nile Blue Nile Jewelry - Domain Northside, Austin, TX|11050622",484530367001,Top CEL Census,4,1.02%,87,7.59%
"Blue Nile Blue Nile Jewelry - Domain Northside, Austin, TX|11050622",484530019132,Top CEL Census,3,0.77%,4,0.35%
